Country,Year,Rank,Total,S1: Demographic Pressures,S2: Refugees and IDPs,C3: Group Grievance,E3: Human Flight and Brain Drain,E2: Economic Inequality,E1: Economy,P1: State Legitimacy,P2: Public Services,P3: Human Rights,C1: Security Apparatus,C2: Factionalized Elites,X1: External Intervention
Lebanon,2023,25th,91.79999999999998,5.8,8.8,8.1,6.5,6.6,9.2,7.7,6.8,7.1,7.3,9.6,8.3
Uganda,2023,26th,91.5,9.2,8.9,7.6,6.1,7.4,6.4,8.2,8.0,7.2,6.3,8.9,7.3
Iraq,2023,27th,91.39999999999999,8.2,7.7,8.0,6.1,5.7,6.3,8.3,8.3,7.8,7.5,9.6,7.9
Congo Republic,2023,28th,90.7,8.5,6.5,8.8,6.2,7.5,9.3,9.1,8.7,7.2,6.4,6.7,5.8
Venezuela,2023,29th,90.5,6.5,6.5,6.4,6.5,6.9,9.4,9.6,8.3,8.6,6.7,9.4,5.7
Sri Lanka,2023,30th,90.30000000000001,7.2,6.6,8.4,7.6,6.0,8.3,8.0,6.0,8.4,6.8,9.1,7.9
Guinea Bissau,2023,31st,89.90000000000002,8.9,5.5,3.7,6.7,8.9,7.2,9.1,8.9,6.0,7.9,9.9,7.2
Pakistan,2023,32nd,89.89999999999999,8.3,7.6,9.0,5.8,4.9,6.7,7.4,7.5,7.5,7.6,9.3,8.3
Liberia,2023,33rd,88.89999999999999,8.4,7.4,4.6,6.7,7.5,8.3,6.2,9.1,7.5,6.8,8.9,7.5
Palestine,2023,34th,87.9,8.3,6.2,5.8,8.9,4.9,6.2,9.1,4.4,7.6,7.9,8.6,10.0
Kenya,2023,35th,87.8,8.1,7.3,8.0,6.4,7.4,6.4,7.3,8.0,6.3,6.8,8.9,6.9
Cote d'Ivoire,2023,36th,87.10000000000001,8.6,6.0,6.7,5.8,7.5,6.2,7.5,8.2,6.9,6.6,9.9,7.2
Mauritania,2023,37th,87.0,8.6,8.3,7.6,5.7,7.2,6.3,7.8,8.4,6.4,5.7,8.8,6.2
North Korea,2023,38th,87.0,7.3,3.2,4.6,3.2,7.3,8.7,9.8,8.0,9.4,7.4,9.2,8.9
Angola,2023,39th,86.9,9.3,5.3,8.7,5.6,8.8,8.2,8.1,8.8,6.3,6.6,7.2,4.0
Iran,2023,40th,85.39999999999999,6.8,5.5,9.6,4.9,4.5,7.6,9.8,4.1,9.9,7.0,9.6,6.1
Bangladesh,2023,41st,85.19999999999999,7.7,7.5,8.8,6.8,5.9,5.1,7.5,7.9,7.3,6.8,9.3,4.6
Equatorial Guinea,2023,42nd,84.4,9.1,5.5,7.5,3.7,7.6,6.7,9.9,8.5,8.2,5.9,8.2,3.6
Malawi,2023,43rd,83.2,9.6,6.0,4.1,6.4,7.8,8.1,7.5,8.2,5.1,4.2,8.7,7.5
Rwanda,2023,44th,82.30000000000001,7.2,7.3,9.0,6.1,7.8,6.4,6.7,6.7,6.2,5.2,8.0,5.7
Comoros,2023,45th,82.2,8.2,5.5,4.8,7.2,7.7,7.3,8.0,8.0,5.7,5.6,8.0,6.2
Djibouti,2023,46th,82.19999999999999,7.1,7.1,5.3,4.0,7.2,7.0,8.8,7.6,7.9,5.3,7.3,7.6
Togo,2023,47th,82.1,7.4,5.7,6.6,6.5,8.1,7.0,7.6,8.1,6.4,5.8,7.6,5.3
Zambia,2023,48th,81.8,9.4,4.9,5.9,6.3,9.1,8.2,6.7,8.1,7.5,3.9,5.6,6.2
Madagascar,2023,49th,81.7,9.6,5.0,3.8,5.9,9.2,7.7,6.7,9.3,6.0,5.7,7.8,5.0
Egypt,2023,50th,81.6,6.7,5.5,7.7,5.0,4.5,7.1,8.6,4.7,9.2,7.0,9.1,6.5
Sierra Leone,2023,51st,81.39999999999999,8.4,7.4,5.4,7.0,7.5,8.5,5.5,8.6,5.6,3.6,7.8,6.1
Turkey,2023,52nd,81.19999999999999,4.5,8.2,9.5,3.7,6.6,6.9,7.3,4.8,8.0,6.6,8.8,6.3
Russia,2023,53rd,80.7,4.8,4.8,7.8,3.9,5.2,7.7,9.1,3.7,9.3,8.3,8.4,7.7
Cambodia,2023,54th,80.30000000000001,6.4,3.9,5.5,6.0,6.4,5.2,9.1,7.4,8.3,6.4,8.7,7.0
Nepal,2023,55th,80.2,8.1,6.6,8.8,6.1,5.3,5.1,6.6,7.1,6.3,5.5,8.8,5.9
Solomon Islands,2023,56th,79.60000000000001,7.1,5.0,5.5,5.9,7.8,6.4,6.2,8.0,4.0,5.0,8.7,10.0
Honduras,2023,57th,79.6,6.9,5.8,4.9,6.7,6.7,6.3,6.8,7.8,7.6,6.8,7.0,6.3
Swaziland,2023,58th,79.1,8.7,3.7,2.0,6.0,7.8,9.4,8.8,7.1,8.2,4.5,6.8,6.1
Colombia,2023,59th,78.1,7.8,7.8,7.3,4.6,6.4,6.2,5.3,6.0,7.5,6.7,7.6,4.9
Papua New Guinea,2023,60th,78.1,7.4,4.9,4.5,5.9,8.2,6.8,5.7,9.4,6.7,6.5,7.1,5.0
Philippines,2023,61st,77.8,7.9,5.8,6.8,4.9,4.7,4.4,6.8,6.5,7.5,9.1,8.0,5.4
Nicaragua,2023,62nd,77.7,5.0,5.1,5.6,7.3,6.7,6.0,9.1,6.5,7.5,5.6,7.1,6.2
Timor-Leste,2023,63rd,77.5,8.7,5.7,5.0,6.6,5.9,7.1,4.9,7.2,4.5,5.6,8.3,8.0
Guatemala,2023,64th,77.3,7.1,5.3,9.3,6.5,6.5,4.7,6.8,6.8,7.6,6.2,7.1,3.4
Tanzania,2023,65th,76.6,8.6,4.9,5.2,6.4,7.3,6.2,6.9,8.4,5.6,4.6,6.5,6.0
Lesotho,2023,66th,76.3,8.6,3.9,3.1,7.5,7.9,8.4,4.9,7.2,4.9,5.8,7.3,6.8
Gambia,2023,67th,76.10000000000001,8.2,5.8,2.8,6.9,5.9,7.6,6.4,7.6,6.9,5.1,7.4,5.5
Jordan,2023,68th,75.7,6.3,8.4,8.2,5.7,4.4,6.4,6.9,4.8,7.2,4.6,6.9,5.9
Kyrgyz Republic,2023,69th,75.60000000000001,5.7,3.9,7.9,6.7,4.9,6.9,8.2,4.7,6.6,5.6,8.2,6.3
Laos,2023,70th,74.69999999999999,6.4,5.4,7.2,6.4,5.3,5.1,8.9,6.3,6.8,3.9,8.3,4.7
Brazil,2023,71st,74.5,8.7,3.5,7.5,3.5,6.8,6.6,7.1,7.2,7.9,6.2,6.5,3.0
Tajikistan,2023,72nd,74.2,7.0,3.8,6.7,5.4,4.3,5.7,9.4,4.7,8.6,5.5,8.4,4.7
India,2023,73rd,74.10000000000001,8.5,4.1,8.1,4.9,5.8,6.2,4.5,7.3,7.5,6.0,7.3,3.9
Benin,2023,74th,73.30000000000001,8.0,5.9,2.6,6.1,7.8,6.8,5.3,8.3,5.7,5.2,6.7,4.9
Peru,2023,75th,73.10000000000001,7.6,4.5,8.0,5.8,6.2,4.6,7.3,7.2,5.7,6.0,8.4,1.8
Azerbaijan,2023,76th,72.69999999999999,3.8,6.3,5.9,4.6,4.5,4.5,9.2,4.9,7.5,5.8,7.9,7.8
Bosnia and Herzegovina,2023,77th,72.3,6.1,7.2,6.4,7.1,3.9,6.6,6.4,4.2,4.3,4.4,8.7,7.0
South Africa,2023,78th,72.0,8.0,4.0,6.0,4.5,6.9,8.1,6.1,7.1,4.8,6.6,6.8,3.1
Georgia,2023,79th,71.89999999999999,4.7,6.5,7.1,6.5,4.4,5.3,8.0,3.8,5.0,5.0,8.8,6.8
Senegal,2023,80th,71.50000000000001,7.4,5.8,5.0,6.9,6.3,7.5,3.7,7.9,4.6,4.5,7.0,4.9
Bolivia,2023,81st,70.7,6.9,2.6,6.4,5.6,7.6,5.7,6.4,6.3,5.7,5.3,8.2,4.0
Fiji,2023,82nd,70.19999999999999,4.6,3.2,5.4,7.6,5.0,7.5,6.1,4.2,5.4,6.4,8.2,6.6
Algeria,2023,83rd,69.99999999999999,5.0,6.2,7.0,5.1,5.2,6.2,7.6,5.0,6.9,5.8,6.9,3.1
Belarus,2023,84th,69.9,4.8,3.2,5.3,4.6,3.3,5.3,9.4,2.7,8.3,5.4,9.6,8.0
Mexico,2023,85th,69.8,6.9,5.5,6.1,4.7,5.7,4.5,6.3,6.3,5.6,8.3,5.9,4.0
Sao Tome and Principe,2023,86th,69.7,6.9,5.2,4.2,7.3,6.7,8.9,3.8,6.6,2.4,4.1,6.3,7.3
Ecuador,2023,87th,69.39999999999999,6.7,5.0,5.9,4.2,6.2,6.0,6.4,6.0,4.3,6.0,8.2,4.5
Micronesia,2023,88th,69.30000000000001,5.8,4.2,3.7,8.4,6.8,8.3,4.1,6.2,3.3,3.1,5.6,9.8
El Salvador,2023,89th,69.3,6.8,5.3,5.3,8.7,5.1,5.5,5.2,6.2,5.4,6.0,4.8,5.0
Morocco,2023,90th,68.19999999999999,4.4,5.1,8.3,7.1,4.8,5.7,6.8,5.1,5.4,4.3,6.6,4.6
Thailand,2023,91st,68.0,6.1,4.9,7.1,3.7,4.3,3.5,7.5,3.5,7.7,8.0,9.7,2.0
Serbia,2023,92nd,67.9,4.1,6.8,7.8,6.0,4.3,6.1,5.6,3.9,3.7,3.9,8.6,7.1
Armenia,2023,93rd,67.5,3.8,6.8,5.9,7.2,2.8,6.4,6.3,3.4,5.8,5.7,6.4,7.0
Moldova,2023,94th,67.39999999999999,5.4,6.0,5.8,8.1,3.6,6.4,4.9,4.6,3.9,4.5,7.8,6.4
Uzbekistan,2023,95th,66.80000000000001,4.3,3.8,5.4,4.8,5.3,5.1,9.0,4.0,7.3,5.6,8.8,3.4
Bhutan,2023,96th,66.4,5.4,5.8,9.7,5.5,4.3,5.6,2.8,5.6,5.0,2.7,7.5,6.5
Tunisia,2023,97th,66.39999999999999,4.3,2.9,6.9,5.6,4.1,8.0,5.7,4.4,5.5,6.9,7.5,4.6
Indonesia,2023,98th,65.60000000000001,7.0,4.4,6.9,5.7,4.4,4.1,4.7,5.9,6.5,5.2,7.1,3.7
Gabon,2023,99th,65.50000000000001,6.7,2.6,3.1,4.6,5.8,5.9,8.1,6.8,6.1,4.2,7.7,3.9
Saudi Arabia,2023,100th,65.3,4.3,3.2,9.5,2.7,4.8,3.6,7.6,3.8,8.1,5.1,8.5,4.1
Samoa,2023,103rd,65.1,4.7,3.5,5.1,10.0,3.7,6.9,4.1,4.9,3.8,3.6,5.1,9.7
Bahrain,2023,101st,65.1,4.1,1.4,9.5,3.0,5.7,3.6,8.0,2.9,8.7,5.3,7.6,5.3
China,2023,102nd,65.1,6.5,3.1,6.5,3.2,6.1,3.3,8.1,4.7,9.4,4.9,7.2,2.1
Turkmenistan,2023,104th,64.5,5.6,2.3,5.3,4.1,5.6,5.1,9.8,4.1,8.0,4.5,7.8,2.3
Paraguay,2023,105th,63.7,5.7,2.9,4.7,4.7,6.9,4.9,6.4,5.7,5.1,5.7,7.8,3.2
Maldives,2023,106th,62.9,5.2,3.5,3.4,5.2,2.6,5.2,6.9,5.4,6.9,4.9,8.1,5.6
Ghana,2023,107th,62.29999999999999,7.4,3.5,3.0,6.8,6.6,5.8,3.2,6.8,3.8,4.0,5.9,5.5
Jamaica,2023,108th,61.90000000000001,4.8,2.2,1.6,9.5,5.3,6.9,4.2,7.0,5.2,7.0,3.7,4.5
Guyana,2023,109th,61.599999999999994,5.8,3.0,5.9,8.2,3.9,3.5,4.4,6.1,3.4,6.5,4.8,6.1
Dominican Republic,2023,110th,60.800000000000004,6.4,2.6,4.6,6.7,4.7,4.6,5.4,6.4,4.1,5.5,6.2,3.6
Kazakhstan,2023,111th,60.6,4.1,2.3,7.4,4.6,2.6,5.1,8.4,4.0,7.1,4.0,7.9,3.1
Namibia,2023,112th,60.300000000000004,8.1,3.6,4.2,5.9,6.9,6.8,3.1,7.2,2.2,4.2,3.5,4.6
Macedonia,2023,113th,60.3,4.2,6.3,5.4,6.4,4.3,6.3,4.5,4.2,2.4,4.1,7.3,4.9
Cape Verde,2023,114th,60.1,6.2,3.6,2.4,8.0,5.0,5.9,3.5,5.6,2.3,4.2,5.5,7.9
Belize,2023,115th,59.8,5.0,3.0,4.7,5.0,3.6,6.9,3.4,5.4,5.6,6.8,4.3,6.1
Suriname,2023,116th,59.699999999999996,5.5,2.8,7.0,5.7,4.7,7.7,4.0,4.7,4.0,3.4,5.8,4.4
Cuba,2023,117th,59.49999999999999,5.9,3.2,2.2,5.6,3.8,5.6,7.6,4.5,6.3,3.4,7.0,4.4
Vietnam,2023,118th,58.300000000000004,4.4,3.9,4.8,4.7,3.5,3.6,8.0,3.8,7.5,3.5,6.9,3.7
Montenegro,2023,119th,57.99999999999999,4.1,3.6,9.3,5.4,2.4,5.8,3.9,3.8,2.9,4.0,6.5,6.3
Cyprus,2023,120th,57.0,3.4,5.9,4.5,3.5,4.5,5.6,4.2,3.3,3.0,2.9,7.9,8.3
Albania,2023,121st,56.8,4.1,2.8,3.5,8.5,2.9,6.1,5.0,3.8,3.6,4.8,6.2,5.5
Botswana,2023,122nd,55.29999999999999,7.8,3.1,3.7,4.5,6.8,6.6,2.5,6.3,5.0,3.4,3.3,2.3
Greece,2023,123rd,55.099999999999994,4.1,5.3,4.0,4.0,3.2,6.0,5.8,4.3,3.9,3.3,4.1,7.1
Malaysia,2023,124th,55.0,5.1,3.2,4.8,4.1,3.5,3.0,6.5,3.7,7.5,4.8,6.8,2.0
Brunei Darussalam,2023,125th,54.699999999999996,2.8,1.1,7.1,3.4,6.9,3.0,7.7,2.0,6.3,3.9,7.4,3.1
Antigua and Barbuda,2023,126th,53.8,3.7,2.7,3.6,6.2,5.1,6.6,3.6,3.8,3.8,4.9,3.7,6.1
Grenada,2023,127th,53.699999999999996,4.1,2.2,3.6,7.7,4.6,5.9,3.7,4.1,1.5,4.8,5.6,5.9
Seychelles,2023,128th,53.3,4.2,2.3,3.9,5.3,5.3,3.8,3.5,2.4,4.6,5.2,6.0,6.8
Romania,2023,129th,53.0,4.5,4.0,5.4,5.6,4.0,4.0,4.4,5.0,4.1,1.9,5.7,4.4
Trinidad and Tobago,2023,130th,52.89999999999999,4.1,2.5,3.4,6.8,4.7,3.9,3.5,4.3,3.5,7.3,5.6,3.3
Bulgaria,2023,131st,51.800000000000004,5.4,4.4,4.0,5.2,4.7,4.4,3.5,3.9,3.2,4.1,5.3,3.7
Mongolia,2023,132nd,51.3,4.8,2.3,2.3,4.2,5.2,5.1,4.0,4.8,4.2,2.9,5.5,6.0
Kuwait,2023,133rd,51.2,4.4,2.0,4.7,2.5,4.8,2.6,7.2,2.7,7.4,2.4,7.5,3.0
Bahamas,2023,134th,49.2,6.3,2.5,2.3,4.4,4.7,4.5,1.8,5.3,4.5,4.3,4.5,4.1
Hungary,2023,135th,48.8,3.5,5.4,3.3,3.9,2.6,4.4,6.2,2.8,5.7,1.8,5.3,3.9
Panama,2023,137th,48.7,4.9,2.4,6.2,3.6,6.0,3.5,3.7,4.9,4.4,4.6,2.7,1.8
Oman,2023,136th,48.7,4.2,1.6,2.9,1.4,4.1,4.4,7.2,3.1,6.7,2.4,6.6,4.1
Croatia,2023,138th,48.699999999999996,4.8,6.8,4.3,6.1,2.9,5.7,2.3,2.9,2.0,2.0,4.4,4.5
Argentina,2023,139th,46.4,5.7,1.6,3.2,2.9,5.3,6.6,3.4,4.2,2.7,4.3,2.8,3.7
Barbados,2023,140th,45.400000000000006,3.7,1.9,2.3,5.1,5.0,6.0,1.2,3.5,2.6,4.4,4.2,5.5
United States,2023,141st,45.300000000000004,5.2,2.2,6.5,1.7,4.0,2.1,4.2,2.2,4.2,4.7,7.3,1.0
Poland,2023,142nd,45.199999999999996,3.8,5.9,5.0,4.6,2.4,3.6,3.7,3.0,4.4,1.8,4.2,2.8
Israel,2023,143rd,44.1,4.8,1.7,7.1,2.4,3.6,1.0,3.3,1.6,2.9,2.6,8.3,4.8
Spain,2023,144th,43.49999999999999,3.3,1.9,7.3,1.0,3.5,4.5,6.3,2.9,1.8,2.8,6.9,1.3
Latvia,2023,145th,43.3,3.2,3.0,7.7,5.8,3.7,3.9,1.8,3.3,1.9,2.0,4.3,2.7
Italy,2023,146th,42.6,4.6,4.3,3.7,2.5,2.9,5.4,2.0,3.9,0.7,4.5,4.9,3.2
Chile,2023,147th,42.2,5.9,1.5,3.8,3.3,4.9,4.0,4.4,3.9,3.6,3.6,2.2,1.1
United Kingdom,2023,148th,41.9,3.4,2.4,6.1,2.4,3.7,5.0,3.6,2.6,2.7,2.9,5.8,1.3
Qatar,2023,149th,40.5,3.0,1.3,2.8,1.1,5.3,1.1,6.4,2.3,5.5,1.0,5.0,5.7
Costa Rica,2023,150th,40.4,2.9,4.9,2.4,2.9,5.1,5.5,1.2,4.1,1.2,2.9,3.8,3.5
Czech Republic,2023,151st,40.199999999999996,3.2,4.5,4.0,3.5,1.9,4.4,3.9,2.9,1.9,2.0,5.3,2.7
Lithuania,2023,152nd,39.39999999999999,3.6,2.9,2.7,5.6,4.1,3.7,1.2,3.7,1.9,2.2,3.0,4.8
Estonia,2023,153rd,38.6,2.9,2.6,6.8,4.7,3.0,3.2,1.0,1.9,1.3,1.7,5.8,3.7
Mauritius,2023,154th,38.0,3.1,1.6,5.0,4.2,3.1,5.0,2.3,3.1,3.6,1.0,3.1,2.9
Slovak Republic,2023,155th,37.800000000000004,2.6,3.3,5.5,4.0,2.2,4.1,3.2,2.6,2.3,1.2,4.7,2.1
United Arab Emirates,2023,156th,37.0,3.6,1.4,2.2,2.1,3.1,1.6,6.4,2.1,6.8,2.3,3.6,1.8
Uruguay,2023,157th,34.4,3.4,1.8,2.3,3.4,3.3,4.1,0.4,3.2,3.6,3.6,2.7,2.6
Malta,2023,158th,33.0,3.7,3.2,2.1,3.7,2.3,3.4,2.9,1.8,3.6,1.8,2.0,2.5
South Korea,2023,159th,31.5,2.5,1.1,2.8,3.4,2.8,1.6,2.4,2.4,3.3,1.5,3.9,3.8
Belgium,2023,160th,31.4,4.2,2.1,3.5,2.7,2.2,4.6,0.8,2.5,1.0,2.4,4.4,1.0
Japan,2023,161st,30.500000000000004,5.9,2.6,1.9,2.7,2.9,3.5,0.3,1.8,2.8,1.5,2.6,2.0
France,2023,162nd,28.799999999999997,3.1,2.4,6.4,2.0,2.9,3.4,1.0,1.2,1.1,2.9,1.9,0.5
Slovenia,2023,163rd,27.299999999999997,3.6,2.6,3.0,3.6,2.7,3.2,1.4,2.4,1.4,0.3,2.0,1.1
Portugal,2023,164th,25.7,4.0,1.4,0.7,3.1,2.4,3.9,0.8,2.7,1.4,0.3,2.5,2.5
Singapore,2023,165th,25.499999999999996,2.5,0.5,2.8,1.3,3.4,1.0,3.7,1.0,4.5,0.4,4.0,0.4
Germany,2023,166th,24.6,2.3,4.5,3.4,1.9,2.7,1.5,0.7,1.5,0.7,2.3,2.3,0.8
Austria,2023,167th,24.399999999999995,3.6,4.5,3.3,1.7,2.5,1.2,0.6,1.7,0.4,1.4,3.2,0.3
Australia,2023,168th,22.0,3.8,1.7,2.9,0.4,2.6,1.6,0.4,2.2,2.2,2.1,1.7,0.4
Netherlands,2023,169th,20.999999999999996,2.5,2.4,3.0,2.3,1.8,1.6,0.3,1.0,0.5,1.8,3.4,0.4
Sweden,2023,170th,20.6,3.0,3.7,2.3,0.6,2.3,1.3,0.5,1.0,1.5,2.1,1.8,0.5
Luxembourg,2023,172nd,19.5,2.4,2.8,1.5,1.7,1.8,2.4,0.3,1.3,1.1,0.4,3.4,0.4
Ireland,2023,171st,19.5,2.8,1.6,0.5,2.5,1.8,1.7,0.5,1.9,1.6,2.1,1.5,1.0
Canada,2023,173rd,18.9,1.2,2.0,2.0,0.7,2.5,1.4,0.4,1.7,1.9,2.2,2.5,0.4
Denmark,2023,174th,17.900000000000002,2.3,3.0,3.1,1.0,1.8,1.0,0.3,1.7,0.6,1.1,1.4,0.6
Switzerland,2023,175th,17.799999999999997,2.4,3.2,2.1,1.0,2.4,1.6,0.3,1.6,0.4,1.4,1.0,0.4
New Zealand,2023,176th,16.7,1.1,1.2,2.0,1.6,2.6,2.6,0.5,1.1,0.5,1.6,1.4,0.5
Finland,2023,177th,16.0,1.7,1.9,0.3,1.5,1.6,2.7,0.4,1.0,0.5,2.0,1.4,1.0
Iceland,2023,178th,15.700000000000001,1.5,1.5,0.5,1.6,1.5,2.6,0.4,0.9,0.4,0.4,1.8,2.6
Norway,2023,179th,14.5,1.4,1.7,3.1,0.7,1.4,1.4,0.4,1.0,0.4,1.4,1.1,0.5
